"Year","Month","Variable","Treatment","Value","Model"
2010,"Dec","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Dec","mwcont_upper","Irrigated",0.923,"LPJGUESS"
2010,"Feb","maet","Irrigated",0,"LPJGUESS"
2010,"Feb","mevap","Irrigated",0,"LPJGUESS"
2010,"Feb","mgpp","Irrigated",0,"LPJGUESS"
2010,"Feb","mlai","Irrigated",0,"LPJGUESS"
2010,"Feb","mnee","Irrigated",0.009,"LPJGUESS"
2010,"Feb","mnpp","Irrigated",0,"LPJGUESS"
2010,"Feb","mra","Irrigated",0,"LPJGUESS"
2010,"Feb","mrh","Irrigated",0.009,"LPJGUESS"
2010,"Feb","mrunoff","Irrigated",12.164,"LPJGUESS"
2010,"Feb","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Feb","mwcont_upper","Irrigated",0.957,"LPJGUESS"
2010,"Jan","maet","Irrigated",0,"LPJGUESS"
2010,"Jan","mevap","Irrigated",0,"LPJGUESS"
2010,"Jan","mgpp","Irrigated",0,"LPJGUESS"
2010,"Jan","mlai","Irrigated",0,"LPJGUESS"
2010,"Jan","mnee","Irrigated",0.009,"LPJGUESS"
2010,"Jan","mnpp","Irrigated",0,"LPJGUESS"
2010,"Jan","mra","Irrigated",0,"LPJGUESS"
2010,"Jan","mrh","Irrigated",0.009,"LPJGUESS"
2010,"Jan","mrunoff","Irrigated",0,"LPJGUESS"
2010,"Jan","mwcont_lower","Irrigated",0.992,"LPJGUESS"
2010,"Jan","mwcont_upper","Irrigated",0.957,"LPJGUESS"
2010,"Jul","maet","Irrigated",95.409,"LPJGUESS"
2010,"Jul","mevap","Irrigated",0,"LPJGUESS"
2010,"Jul","mgpp","Irrigated",0.189,"LPJGUESS"
2010,"Jul","mlai","Irrigated",5.236,"LPJGUESS"
2010,"Jul","mnee","Irrigated",-0.025,"LPJGUESS"
2010,"Jul","mnpp","Irrigated",0.122,"LPJGUESS"
2010,"Jul","mra","Irrigated",0.067,"LPJGUESS"
2010,"Jul","mrh","Irrigated",0.097,"LPJGUESS"
2010,"Jul","mrunoff","Irrigated",83.158,"LPJGUESS"
2010,"Jul","mwcont_lower","Irrigated",0.992,"LPJGUESS"
